Trial,Setting,Choice,Duration,Timestamp
1,TopGauss_BottomLinear,Upper,10.0,2026-01-19T14:51:09.9076411+09:00
2,TopLinear_BottomGauss,Lower,10.0,2026-01-19T14:51:20.6037948+09:00
3,TopLinear_BottomGauss,Lower,10.0,2026-01-19T14:51:31.2112873+09:00
4,TopGauss_BottomLinear,Upper,10.0,2026-01-19T14:51:41.9212312+09:00
5,TopLinear_BottomGauss,Lower,10.0,2026-01-19T14:51:52.6463321+09:00
6,TopGauss_BottomLinear,Upper,10.0,2026-01-19T14:52:04.3004287+09:00
7,TopGauss_BottomLinear,Upper,10.0,2026-01-19T14:52:15.0903528+09:00
8,TopGauss_BottomLinear,Upper,10.0,2026-01-19T14:52:26.3441728+09:00
9,TopLinear_BottomGauss,Lower,10.0,2026-01-19T14:52:37.0701085+09:00
10,TopGauss_BottomLinear,Upper,10.0,2026-01-19T14:52:48.7932187+09:00
11,TopGauss_BottomLinear,Upper,10.0,2026-01-19T14:53:00.2492947+09:00
12,TopLinear_BottomGauss,Lower,10.0,2026-01-19T14:53:10.9487797+09:00
13,TopLinear_BottomGauss,Lower,10.0,2026-01-19T14:53:22.0978355+09:00
14,TopLinear_BottomGauss,Lower,10.0,2026-01-19T14:53:32.7084323+09:00
15,TopGauss_BottomLinear,Upper,10.0,2026-01-19T14:53:43.4110592+09:00
16,TopLinear_BottomGauss,Lower,10.0,2026-01-19T14:53:54.1069860+09:00
17,TopLinear_BottomGauss,Lower,10.0,2026-01-19T14:54:04.6556217+09:00
18,TopLinear_BottomGauss,Lower,10.0,2026-01-19T14:54:15.4857428+09:00
19,TopGauss_BottomLinear,Upper,10.0,2026-01-19T14:54:26.7305711+09:00
20,TopGauss_BottomLinear,Upper,10.0,2026-01-19T14:54:38.1714348+09:00
