alpha,x_position
0.000000000000000000e+00,1.576000000000000000e+03
5.000000000000000278e-02,1.576000000000000000e+03
1.000000000000000056e-01,1.576000000000000000e+03
1.500000000000000222e-01,1.576000000000000000e+03
2.000000000000000111e-01,1.576000000000000000e+03
2.500000000000000000e-01,1.576000000000000000e+03
3.000000000000000444e-01,1.576000000000000000e+03
3.500000000000000333e-01,1.576000000000000000e+03
4.000000000000000222e-01,1.576000000000000000e+03
4.500000000000000111e-01,1.576000000000000000e+03
5.000000000000000000e-01,1.576000000000000000e+03
5.500000000000000444e-01,1.548000000000000000e+03
6.000000000000000888e-01,1.548000000000000000e+03
6.500000000000000222e-01,1.548000000000000000e+03
7.000000000000000666e-01,1.548000000000000000e+03
7.500000000000000000e-01,1.548000000000000000e+03
8.000000000000000444e-01,1.548000000000000000e+03
8.500000000000000888e-01,1.548000000000000000e+03
9.000000000000000222e-01,1.548000000000000000e+03
9.500000000000000666e-01,1.548000000000000000e+03
1.000000000000000000e+00,1.548000000000000000e+03
